"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28071","Можно добавить материал типа Текст из Библиотеки в шаблон контрольной","Активность","2026-03-11","passed","2026-03-11","Редактирование шаблона контрольной","Шаблон активности контрольной","TestTemplateAddingTests","CheckAddTextMaterialToControlActivityPlan"
"","9793","Невозможно пройти тест после окончания активности","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityPassingTests","CheckUnablePassTestAfterTheEndOfActivity"
"","28675","Можно отметить Неверно на ответ в вопросе, который был отмечен как Верно","Активность","2026-03-11","passed","2026-03-11","Результат прохождения теста","Контрольная","TestActivityResultTests","CheckMarkIncorrectAnswerThatWasMarkedAsCorrect"
"","8237","Ошибка валидации в поле Объем в академических часах, если введено отрицательное значение","","2026-03-11","passed","2026-03-11","Обычный шаблон активности","Активность","TemplateEditingValidationTests","CheckEditActivityTemplateVolumeWithIncorrectValue"
"","34805","Можно создать активность в дисциплине (в модуле)","Активность","2026-03-11","passed","2026-03-11","Создание активности","Обычная активность","ActivityCreatingTests","CreateActivityInModule"
"","32197","Можно создать активность в дисциплине (в теме)","Активность","2026-03-11","passed","2026-03-11","Создание активности","Обычная активность","ActivityCreatingTests","CreateActivityInTopic"
"","49501","Невозможно добавить несколько материалов типа Тест из Библиотеки в контрольную","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityAddingTests","CheckErrorIfAddSeveralTestToControlTypeActivity"
"","20416","Можно изменить описание шаблона активности","","2026-03-11","passed","2026-03-11","Обычный шаблон активности","Активность","TemplateEditingTests","CheckEditActivityTemplateDescription"
"","40401","Можно создать контрольную, если заполнены обязательные поля","Активность","2026-03-11","passed","2026-03-11","Создание контрольной","Контрольная","TestActivityCreatingTests","CheckCreateControlTypeActivity"
"","20216","Можно добавить ещё один файл в решение","Активность","2026-03-11","passed","2026-03-11","Страница решения задания для студента","Задание","TaskWithSolutionStudentTests","CheckSendAnotherFileSolution"
"","10774","Поле Режим выполнения некликабельно","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityEditingTests","CheckExecutionModeFieldIsNotClickable"
"","24840","Ошибка валидации в поле Минимальный порог баллов, если введено отрицательное значение","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityEditingTests","CheckErrorInMinThresholdFieldWithIncorrectValue"
"","37104","Можно продолжить выполнение незавершенной попытки","Активность","2026-03-11","passed","2026-03-11","Прохождение теста","Контрольная","TestActivityPassingTests","CheckContinueAnIncompleteAttempt"
"","21198","Можно отметить/снять галку с чекбокса Отображать студентам подробную информацию о результатах","Активность","2026-03-11","passed","2026-03-11","Редактирование контрольной","Контрольная","TestActivityEditingTests","CheckChangeSelectionOfCheckboxDisplayingDetailedResult"
"","36978","Можно добавить материал типа SCORM из Библиотеки в шаблон активности","","2026-03-11","passed","2026-03-11","Обычный шаблон активности","Активность","TemplateAddingTests","CheckAddScormPackageActivityTemplate"
